keyword,date,page,position,title,author,publisher,pages,publication_date,sales_rank,image,asin,,,,,,,
drug history,00:17.5,1,3,"Ten Drugs: How Plants, Powders, and Pills Have Shaped the History of Medicine",Thomas Hager,Abrams Press,308,00:00.0,32496,https://images-na.ssl-images-amazon.com/images/I/41Bs36jwEwL._SL75_.jpg,B07H1FT3PW,,,,,,,
drug history,00:17.5,1,7,The Mastermind: Drugs. Empire. Murder. Betrayal.,Evan Ratliff,Random House,446,00:00.0,6601,https://images-na.ssl-images-amazon.com/images/I/41Yn4cEd46L._SL75_.jpg,B07G6X3Z47,,,,,,,
drug history,00:18.6,2,11,The Light Years: A Memoir,Chris Rush,"Farrar, Straus and Giroux",363,00:00.0,28529,https://images-na.ssl-images-amazon.com/images/I/51Vi9Phgu8L._SL75_.jpg,B07D6MPHN9,,,,,,,
drug history,00:18.6,2,15,The Cartel: A novel (Power of the Dog Series Book 2),Don Winslow,Vintage Crime/Black Lizard,617,00:00.0,3511,https://images-na.ssl-images-amazon.com/images/I/51SN81c1dTL._SL75_.jpg,B00PP3DNCE,,,,,,,
drug history,00:18.6,2,19,Blitzed: Drugs in the Third Reich,Norman Ohler,Mariner Books,306,00:00.0,10897,https://images-na.ssl-images-amazon.com/images/I/519UzSd1D-L._SL75_.jpg,B01IAS9G94,,,,,,,
drug history,00:19.8,3,23,Blindsighted: The First Grant County Thriller (Grant County Thrillers Book 1),Karin Slaughter,Harper,448,00:00.0,20212,https://images-na.ssl-images-amazon.com/images/I/51YOFC%2B4aSL._SL75_.jpg,B00UG8RPS6,,,,,,,
drug history,00:19.8,3,27,"Stealing Fire: How Silicon Valley, the Navy SEALs, and Maverick Scientists Are Revolutionizing the Way We Live and Work",Steven Kotler,Dey Street Books,309,00:00.0,29903,https://images-na.ssl-images-amazon.com/images/I/51YTpnFshDL._SL75_.jpg,B01GCCT3G6,,,,,,,
drug history,00:21.0,4,31,American Kingpin: The Epic Hunt for the Criminal Mastermind Behind the Silk Road,Nick Bilton,Portfolio,343,00:00.0,11351,https://images-na.ssl-images-amazon.com/images/I/51ynhBxufsL._SL75_.jpg,B01L8C4WBG,,,,,,,
drug history,00:21.0,4,35,"Dopesick: Dealers, Doctors, and the Drug Company that Addicted America",Beth Macy,"Little, Brown and Company",385,00:00.0,105,https://images-na.ssl-images-amazon.com/images/I/51wMIdjnlSL._SL75_.jpg,B078D67JCF,,,,,,,
drug history,00:21.0,4,39,Black Dahlia Avenger: One of the Most Notorious Murders of the Twentieth Century??.??.??. Solved!,Steve Hodel,Arcade Publishing,594,00:00.0,20916,https://images-na.ssl-images-amazon.com/images/I/51BMVBQ2JxL._SL75_.jpg,B00U7Y5TI2,,,,,,,
drug history,00:22.0,5,43,"The Other Wes Moore: One Name, Two Fates",Wes Moore,Spiegel & Grau,256,00:00.0,47738,https://images-na.ssl-images-amazon.com/images/I/51FlPERIWvL._SL75_.jpg,B0036S4CQG,,,,,,,
drug history,00:22.0,5,47,This Is Your Country on Drugs: The Secret History of Getting High in America,Ryan Grim,Wiley,273,00:00.0,839033,https://images-na.ssl-images-amazon.com/images/I/419DCjK7TaL._SL75_.jpg,B00DNKYM0S,,,,,,,
drug history,00:23.1,6,51,Dry: A Memoir,Augusten Burroughs,Picador,324,00:00.0,54521,https://images-na.ssl-images-amazon.com/images/I/41%2BOYwZEYGL._SL75_.jpg,B00BY5QYA0,,,,,,,
drug history,00:23.1,6,55,The Poorhouse Fair: A Novel,John Updike,Random House,177,00:00.0,41858,https://images-na.ssl-images-amazon.com/images/I/41fWVBTrDcL._SL75_.jpg,B006OHJ1O4,,,,,,,
drug history,00:23.1,6,59,Unbroken Brain: A Revolutionary New Way of Understanding Addiction,Maia Szalavitz,St. Martin's Press,349,00:00.0,60085,https://images-na.ssl-images-amazon.com/images/I/41AYXRySrwL._SL75_.jpg,B014PF3P84,,,,,,,
drug history,00:24.2,7,63,Gold Dust Woman: The Biography of Stevie Nicks,Stephen Davis,St. Martin's Press,352,00:00.0,61179,https://images-na.ssl-images-amazon.com/images/I/510zuApAWDL._SL75_.jpg,B071VBJQC3,,,,,,,
drug history,00:24.2,7,67,The Electric Kool-Aid Acid Test,Tom Wolfe,"Farrar, Straus and Giroux",436,00:00.0,44949,https://images-na.ssl-images-amazon.com/images/I/51Sy9AWkIVL._SL75_.jpg,B0046A9M7M,,,,,,,
drug history,00:25.4,8,71,Missoula: Rape and the Justice System in a College Town,Jon Krakauer,Anchor,376,00:00.0,50917,https://images-na.ssl-images-amazon.com/images/I/51u5Hr%2B9GKL._SL75_.jpg,B00THFU680,,,,,,,
drug history,00:25.4,8,75,Survivor: A Novel,Chuck Palahniuk,W. W. Norton & Company,304,00:00.0,52120,https://images-na.ssl-images-amazon.com/images/I/41Md4kkwRrL._SL75_.jpg,B004SOBLIE,,,,,,,
drug history,00:25.4,8,79,Lily?????s Song: Southern Historical Fiction: Sequel to The Secret Sense of Wildflower,Susan Gabriel,Wild Lily Arts,350,00:00.0,50038,https://images-na.ssl-images-amazon.com/images/I/51UAZI9GbsL._SL75_.jpg,B01CRIMGYK,,,,,,,
